size,number_of_threads,duration
3,1,0
3,3,0
3,5,0
3,10,0
3,25,0
3,50,0
3,100,0
10,1,0
10,3,0
10,5,0
10,10,0
10,25,0
10,50,0
10,100,0
50,1,0
50,3,9
50,5,9
50,10,12
50,25,7
50,50,1
50,100,14
100,1,0
100,3,45
100,5,46
100,10,39
100,25,45
100,50,44
100,100,45
250,1,8
250,3,244
250,5,242
250,10,236
250,25,240
250,50,241
250,100,248
500,1,81
500,3,951
500,5,972
500,10,1041
500,25,993
500,50,970
500,100,973
1000,1,1401
1000,3,4042
1000,5,4774
1000,10,4783
1000,25,4825
1000,50,4918
1000,100,5295
