size,number_of_threads,duration
3,1,0
3,3,0
3,5,0
3,10,0
3,25,0
3,50,0
3,100,0
10,1,0
10,3,0
10,5,0
10,10,0
10,25,0
10,50,0
10,100,0
50,1,0
50,3,0
50,5,0
50,10,0
50,25,0
50,50,1
50,100,1
100,1,0
100,3,0
100,5,0
100,10,0
100,25,1
100,50,2
100,100,4
250,1,14
250,3,9
250,5,5
250,10,5
250,25,11
250,50,8
250,100,10
500,1,99
500,3,55
500,5,49
500,10,53
500,25,52
500,50,49
500,100,53
1000,1,1287
1000,3,594
1000,5,754
1000,10,761
1000,25,745
1000,50,763
1000,100,765
